ticker,name,sector,quant_rating,quant_score,val_grade,growth_grade,profit_grade,mom_grade,rev_grade,analyst_label,upside,div_yield,market_cap,FSI
ECPG,"Encore Capital Group, Inc.",Financial Services,Buy,4.29,A-,A+,A-,A+,C+,Buy,+23.5%,0.0%,1493231104.0,
EIX,Edison International,Utilities,Buy,4.22,A,A+,A,A+,F,Hold,+3.4%,491.0%,27304763392.0,
JXN,Jackson Financial Inc.,Financial Services,Buy,4.15,A,A+,C-,A-,A+,None,+19.7%,344.0%,7401100288.0,
ADAM,"Adamas Trust, Inc.",Real Estate,Buy,4.12,A,A+,B+,A-,C+,Buy,+44.3%,1088.0%,715652032.0,
TPL,Texas Pacific Land Corporation,Energy,Buy,4.00,C-,B,A+,A+,A+,Hold,-16.0%,46.0%,36468011008.0,FSI-LC
ADEA,Adeia Inc.,Technology,Buy,3.98,B,A,A,A,C,Strong Buy,+32.3%,87.0%,2504498176.0,
INDV,"Indivior Pharmaceuticals, Inc.",Healthcare,Buy,3.97,B+,A,A,B,B,Strong Buy,+51.8%,0.0%,3859513344.0,
ARR,"ARMOUR Residential REIT, Inc.",Real Estate,Buy,3.96,A-,N/A,A,A-,C+,Buy,+6.3%,1654.0%,2078491392.0,
FTAI,FTAI Aviation Ltd.,Industrials,Buy,3.95,D+,A,A,A,A-,Strong Buy,+40.9%,57.0%,24325253120.0,
COKE,"Coca-Cola Consolidated, Inc.",Consumer Defensive,Buy,3.95,B-,B,B+,A+,A,None,N/A,48.0%,13968950272.0,
BBT,Beacon Financial Corporation,Financial Services,Buy,3.94,B-,A+,C,A,A,None,+20.2%,448.0%,2413219072.0,
TPR,"Tapestry, Inc.",Consumer Cyclical,Buy,3.92,D+,A,A,A+,A-,Buy,+12.3%,110.0%,29197381632.0,
SNDK,Sandisk Corporation,Technology,Buy,3.92,C+,A+,C+,A+,A,Buy,+23.0%,0.0%,91338440704.0,
FE,FirstEnergy Corp.,Utilities,Buy,3.92,B-,A,B+,A-,A-,Buy,+2.0%,367.0%,29370548224.0,
VRT,Vertiv Holdings Co,Industrials,Buy,3.91,D,A,A-,A+,A-,Strong Buy,+0.9%,9.0%,101533982720.0,
DCOM,"Dime Community Bancshares, Inc.",Financial Services,Buy,3.91,B,A+,C+,A-,A-,Buy,+23.1%,313.0%,1404988416.0,
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Buy,3.88,B-,A+,A,B-,A,Buy,+32.9%,0.0%,7501160448.0,FSI-SM
GTY,Getty Realty Corp.,Real Estate,Buy,3.86,B-,B+,A-,A,B-,Buy,+1.6%,587.0%,1975740032.0,
HAS,"Hasbro, Inc.",Consumer Cyclical,Buy,3.85,C-,A,B,A,A,Buy,+19.5%,297.0%,13380622336.0,
PRDO,Perdoceo Education Corporation,Consumer Defensive,Buy,3.84,B,A-,A-,A-,C+,None,+20.1%,172.0%,2248713728.0,
RWT,"Redwood Trust, Inc.",Real Estate,Buy,3.82,A-,A+,C,B,A+,Buy,+17.9%,1218.0%,738687616.0,
HL,Hecla Mining Company,Basic Materials,Buy,3.82,D+,A+,A,A-,B+,Hold,+27.1%,7.0%,13762282496.0,
JHG,Janus Henderson Group plc,Financial Services,Buy,3.82,B,A,B+,A,D+,Hold,+0.9%,318.0%,7763870208.0,
VLY,Valley National Bancorp,Financial Services,Buy,3.82,B+,A,C+,A,B+,Strong Buy,+26.2%,371.0%,6613557760.0,
KMT,Kennametal Inc.,Industrials,Buy,3.81,B+,A-,C+,A+,B,Hold,-4.2%,206.0%,2953465088.0,
SON,Sonoco Products Company,Consumer Cyclical,Buy,3.81,A-,A,B-,A,C-,Buy,+22.8%,402.0%,5202485760.0,
RNR,RenaissanceRe Holdings Ltd.,Financial Services,Buy,3.81,A-,A-,B+,A,F,Hold,+9.3%,56.0%,12688039936.0,
RGA,"Reinsurance Group of America, Incor",Financial Services,Buy,3.80,A-,A,C-,A-,B+,Buy,+21.7%,181.0%,13471335424.0,
DLX,Deluxe Corporation,Industrials,Buy,3.80,A,C+,B-,A,A-,None,+22.6%,450.0%,1199004160.0,
CWEN-A,"Clearway Energy, Inc.",Utilities,Buy,3.79,C+,A,C,A+,A,Strong Buy,+7.2%,476.0%,4568963072.0,
CTRE,"CareTrust REIT, Inc.",Real Estate,Buy,3.78,C,A,A,A-,B-,Strong Buy,+9.3%,334.0%,8949580800.0,
INVA,"Innoviva, Inc.",Healthcare,Buy,3.78,A-,A,A,B+,D,Buy,+51.1%,0.0%,1642676224.0,
NLY,"Annaly Capital Management, Inc.",Real Estate,Buy,3.77,B+,A,A-,B-,C+,Buy,+11.1%,1272.0%,15811696640.0,
OMC,Omnicom Group Inc.,Communication Services,Buy,3.77,B,A,C,B+,A+,Buy,+29.5%,400.0%,24510773248.0,
PHIN,PHINIA Inc.,Consumer Cyclical,Buy,3.77,B+,A-,C+,A,B+,Buy,+35.3%,187.0%,2464559872.0,
WT,"WisdomTree, Inc.",Financial Services,Buy,3.77,C-,A-,B+,A,B+,Buy,+25.8%,79.0%,2144076928.0,
NVST,Envista Holdings Corporation,Healthcare,Buy,3.76,B-,A,C+,A-,A,Buy,+11.9%,0.0%,4183003648.0,
JAZZ,Jazz Pharmaceuticals plc,Healthcare,Buy,3.76,B+,C+,B-,A,A,Buy,+23.5%,0.0%,11100563456.0,
ENVA,"Enova International, Inc.",Financial Services,Buy,3.76,B,B+,B+,A-,B+,Strong Buy,+43.1%,0.0%,3386647552.0,
CF,"CF Industries Holdings, Inc.",Basic Materials,Buy,3.74,B-,A-,A,A+,F,Hold,-28.1%,166.0%,21212551168.0,
OHI,"Omega Healthcare Investors, Inc.",Real Estate,Buy,3.74,C+,A-,A,A-,B-,Buy,+1.8%,554.0%,14702952448.0,
TNL,Travel + Leisure Co.,Consumer Cyclical,Buy,3.73,B,B,B+,A-,A-,Strong Buy,+24.8%,321.0%,4357234176.0,
FIX,"Comfort Systems USA, Inc.",Industrials,Buy,3.72,D+,A,B+,A+,B-,None,+23.5%,16.0%,48455196672.0,FSI-SM
UNIT,Uniti Group Inc.,Real Estate,Buy,3.72,B+,A+,B,A-,D,Hold,+2.7%,0.0%,1869552640.0,
MPT,"Medical Properties Trust, Inc.",Real Estate,Buy,3.71,B+,A,B-,B-,A,Hold,+15.5%,719.0%,3013515264.0,
TMP,Tompkins Financial Corporation,Financial Services,Buy,3.71,B+,A+,B+,A-,F,None,+13.6%,360.0%,1073731904.0,
SCHL,Scholastic Corporation,Communication Services,Buy,3.71,B,B-,C+,A,A+,Hold,+7.4%,239.0%,852805504.0,
GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,Buy,3.71,B-,B,A,B+,B,Buy,+12.4%,645.0%,13696609280.0,
BMRN,BioMarin Pharmaceutical Inc.,Healthcare,Buy,3.70,B-,B+,B,B+,A,Buy,+50.6%,0.0%,11360540672.0,
VIRT,"Virtu Financial, Inc.",Financial Services,Buy,3.70,B,A-,A-,A,D+,Hold,+14.2%,242.0%,8519383040.0,
LRN,"Stride, Inc.",Consumer Defensive,Buy,3.69,B+,A+,B+,B-,B-,Buy,+26.8%,0.0%,3677545984.0,
VCTR,"Victory Capital Holdings, Inc.",Financial Services,Buy,3.69,B-,B+,B+,B+,A-,Buy,+10.7%,295.0%,4316260352.0,
PAHC,Phibro Animal Health Corporation,Healthcare,Buy,3.69,B,A,B,A,C+,None,-1.0%,98.0%,1986201088.0,
MCW,"Mister Car Wash, Inc.",Consumer Cyclical,Buy,3.68,C+,B+,B,A+,B,None,+1.4%,0.0%,2286214400.0,
BALL,Ball Corporation,Consumer Cyclical,Buy,3.68,B-,A,B-,A,B-,Buy,+13.7%,130.0%,16532130816.0,
TER,"Teradyne, Inc.",Technology,Buy,3.67,D+,A,B+,A+,B,Buy,+7.3%,17.0%,44870500352.0,
RRX,Regal Rexnord Corporation,Industrials,Buy,3.66,B,B+,C+,A,A,Strong Buy,+25.7%,75.0%,12477317120.0,
PRAA,"PRA Group, Inc.",Financial Services,Buy,3.65,A-,A-,B-,B-,A,Buy,+54.2%,0.0%,657800384.0,
AIR,AAR Corp.,Industrials,Buy,3.64,B-,A-,C,A,B+,Strong Buy,+15.4%,0.0%,4106834944.0,
AMGN,Amgen Inc.,Healthcare,Buy,3.63,C,B+,A-,A,C+,Buy,-4.8%,267.0%,198263701504.0,FSI-LC|FSI-UP
AROC,"Archrock, Inc.",Energy,Buy,3.63,C,A-,A-,A-,B-,Strong Buy,+6.8%,237.0%,6150213632.0,
BWA,BorgWarner Inc.,Consumer Cyclical,Buy,3.62,B,B-,C+,A,A,Buy,+30.0%,130.0%,11229086720.0,
RPRX,Royalty Pharma plc,Healthcare,Buy,3.62,C+,C,A-,A,A-,Buy,+12.4%,205.0%,26531631104.0,
INSW,"International Seaways, Inc.",Energy,Buy,3.62,B-,A,A-,A-,D+,Strong Buy,+12.7%,656.0%,3298794240.0,
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,Buy,3.62,B,B,B-,B+,A,Buy,+38.7%,0.0%,3811731456.0,
STX,Seagate Technology Holdings plc,Technology,Buy,3.62,C,B+,B+,A,B-,None,+27.1%,77.0%,83781009408.0,
EZPW,"EZCORP, Inc.",Financial Services,Buy,3.61,B-,B+,B-,A+,B-,None,+26.3%,0.0%,1602893824.0,
BTSG,"BrightSpring Health Services, Inc.",Healthcare,Buy,3.61,C+,A,C,A-,A,Strong Buy,+32.0%,0.0%,7422139392.0,
NJR,New Jersey Resources Corporation,Utilities,Buy,3.61,B+,A,B,A-,D,None,+1.3%,350.0%,5477910528.0,
OUT,OUTFRONT Media Inc.,Real Estate,Buy,3.61,C+,B,B-,A,B+,Buy,+9.6%,446.0%,4739270656.0,
LITE,Lumentum Holdings Inc.,Technology,Buy,3.61,D,A+,C+,A+,A-,Buy,+7.2%,0.0%,43988828160.0,FSI-SM
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Buy,3.60,B+,C,A,B+,B-,Strong Buy,+45.4%,0.0%,2874920704.0,
BFH,"Bread Financial Holdings, Inc.",Financial Services,Buy,3.60,A,A-,C+,A-,C-,Buy,+16.6%,128.0%,3267696128.0,
WPC,W. P. Carey Inc.,Real Estate,Buy,3.60,C+,A-,B+,B+,B+,Hold,+1.5%,512.0%,16169427968.0,
FCFS,"FirstCash Holdings, Inc.",Financial Services,Buy,3.60,C,B+,B-,A+,A-,None,+5.5%,88.0%,8427416064.0,
NVDA,NVIDIA Corporation,Technology,Buy,3.60,C,A,A,B,B-,Strong Buy,+45.4%,2.0%,4451217702912.0,FSI-LC
PLMR,"Palomar Holdings, Inc.",Financial Services,Buy,3.59,C,A,B,B+,B+,Buy,+38.3%,0.0%,3197431296.0,
PRGS,Progress Software Corporation,Technology,Buy,3.59,A-,A-,B,C,A-,None,+83.5%,0.0%,1531371136.0,
SXI,Standex International Corporation,Industrials,Buy,3.59,C,A+,B-,B+,A-,Strong Buy,+7.5%,53.0%,3120452352.0,
DVA,DaVita Inc.,Healthcare,Buy,3.59,A-,C+,B,A-,B-,Hold,-0.9%,0.0%,10231907328.0,
NATL,NCR Atleos Corporation,Technology,Buy,3.59,A-,B-,B-,A-,B+,Hold,+13.4%,0.0%,3274692352.0,
PMT,PennyMac Mortgage Investment Trust,Real Estate,Buy,3.59,A,A-,C+,C+,A-,Hold,+13.8%,1363.0%,1021574976.0,
SR,Spire Inc.,Utilities,Buy,3.58,B+,B+,B-,B+,B,None,+5.4%,362.0%,5390790656.0,
GMED,"Globus Medical, Inc.",Healthcare,Buy,3.58,B-,A,B+,B+,C-,Buy,+29.3%,0.0%,11430236160.0,
KEX,Kirby Corporation,Industrials,Buy,3.58,B+,A,C+,A-,C,Strong Buy,+12.4%,0.0%,6732182016.0,
WBS,Webster Financial Corporation,Financial Services,Buy,3.58,B-,B+,B-,A,C+,Hold,+10.3%,236.0%,10947931136.0,
LLY,Eli Lilly and Company,Healthcare,Buy,3.57,D+,A-,A+,B+,B-,Buy,+24.5%,62.0%,874657087488.0,
AMG,"Affiliated Managers Group, Inc.",Financial Services,Buy,3.57,C+,B,B,A-,A-,Strong Buy,+45.1%,1.0%,7606900224.0,
GOLD,"Gold.com, Inc.",Financial Services,Buy,3.57,C+,A,C-,A+,N/A,None,+36.4%,159.0%,1377046272.0,
O,Realty Income Corporation,Real Estate,Buy,3.57,C,B+,B,A-,B+,Hold,+3.3%,501.0%,60853444608.0,
ADI,"Analog Devices, Inc.",Technology,Buy,3.57,C,A,B,A-,B,Buy,+25.1%,127.0%,150010494976.0,
EPRT,"Essential Properties Realty Trust, ",Real Estate,Buy,3.56,C+,B+,A-,B+,B-,Strong Buy,+11.6%,376.0%,6948519936.0,
LCII,LCI Industries,Consumer Cyclical,Buy,3.56,B,A,C+,A-,C+,None,+30.8%,373.0%,2984717824.0,
HCC,"Warrior Met Coal, Inc.",Basic Materials,Buy,3.56,C+,A,C,B+,A,Buy,+18.2%,37.0%,4486337024.0,
CUBI,"Customers Bancorp, Inc.",Financial Services,Buy,3.56,B+,A,B-,B-,B+,Buy,+37.6%,0.0%,2275109632.0,
CRI,"Carter's, Inc.",Consumer Cyclical,Buy,3.56,B+,B,B-,A-,B-,Hold,+6.8%,289.0%,1262554112.0,
HNI,HNI Corporation,Consumer Cyclical,Buy,3.55,B-,A+,C+,B-,A,Strong Buy,+78.0%,336.0%,2883624704.0,
LEA,Lear Corporation,Consumer Cyclical,Buy,3.55,A,B-,C,A-,B+,Buy,+23.9%,266.0%,6153285120.0,
HFWA,Heritage Financial Corporation,Financial Services,Buy,3.54,B,A-,C+,B+,B+,None,+25.1%,383.0%,1031979328.0,
LMT,Lockheed Martin Corporation,Industrials,Buy,3.54,C,A-,B-,A,B-,Hold,+0.7%,208.0%,151063429120.0,
ABBV,AbbVie Inc.,Healthcare,Buy,3.54,C,B,A-,B,A+,Buy,+10.4%,304.0%,398492237824.0,
INDB,Independent Bank Corp.,Financial Services,Buy,3.54,B-,A-,C+,A-,A-,None,+19.9%,314.0%,3722260992.0,
LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Buy,3.54,C-,A,B+,A-,C+,Strong Buy,+15.6%,0.0%,4217152256.0,
PFS,"Provident Financial Services, Inc.",Financial Services,Buy,3.53,A-,B+,B-,A-,C,None,+22.5%,471.0%,2666204160.0,
NEE,"NextEra Energy, Inc.",Utilities,Buy,3.53,D,A,B+,A-,B+,Buy,+2.2%,272.0%,191121473536.0,
KTB,"Kontoor Brands, Inc.",Consumer Cyclical,Buy,3.53,B-,A-,A-,C+,B,Buy,+39.6%,319.0%,3689748224.0,
GEF,"Greif, Inc.",Consumer Cyclical,Buy,3.53,B,B,B-,A-,B+,Hold,+19.7%,331.0%,3821983232.0,
ASTH,"Astrana Health, Inc.",Healthcare,Buy,3.53,B+,A,C-,B-,A,Strong Buy,+54.4%,0.0%,1166118016.0,
ES,Eversource Energy,Utilities,Buy,3.53,A-,A-,B+,B,C,Buy,+3.0%,426.0%,27490105344.0,
MOG-A,Moog Inc.,Industrials,Buy,3.53,C,A,B-,A,C+,None,+5.9%,39.0%,9724304384.0,
VTRS,Viatris Inc.,Healthcare,Buy,3.53,A,C,C-,A,A-,Buy,+12.3%,344.0%,15894424576.0,
FHI,"Federated Hermes, Inc.",Financial Services,Buy,3.53,B-,B,B+,A,C-,Hold,-1.7%,240.0%,4385274880.0,
SCCO,Southern Copper Corporation,Basic Materials,Buy,3.53,D+,A,A+,A,D+,Underperform,-16.7%,222.0%,149154381824.0,
NNN,"NNN REIT, Inc.",Real Estate,Buy,3.53,B-,B-,A-,A-,C+,Hold,+0.5%,534.0%,8537778176.0,
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Buy,3.52,B,B-,C+,A,A-,Buy,+10.1%,0.0%,5798706176.0,
TTC,The Toro Company,Industrials,Buy,3.52,C+,B,B,A,B,Buy,+16.3%,161.0%,9300944896.0,
BRX,Brixmor Property Group Inc.,Real Estate,Buy,3.52,B-,B+,B+,A-,C,Strong Buy,+6.6%,401.0%,9102650368.0,
SMP,"Standard Motor Products, Inc.",Consumer Cyclical,Buy,3.52,A-,A-,C+,B,B-,Strong Buy,+33.3%,361.0%,808769728.0,
SUPN,"Supernus Pharmaceuticals, Inc.",Healthcare,Buy,3.52,C+,A-,C,B+,A+,Strong Buy,+25.2%,0.0%,2905573120.0,
AEIS,"Advanced Energy Industries, Inc.",Industrials,Buy,3.52,D+,B+,B-,A+,A,Buy,+8.3%,13.0%,11545009152.0,
LTC,"LTC Properties, Inc.",Real Estate,Buy,3.52,B-,A+,B,A-,C-,Hold,+3.9%,584.0%,1893335936.0,
KGS,"Kodiak Gas Services, Inc.",Energy,Buy,3.51,C-,B,B-,A,A,Strong Buy,-2.3%,346.0%,4667001344.0,
DAR,Darling Ingredients Inc.,Consumer Defensive,Buy,3.51,C+,B,C-,A+,A+,Strong Buy,+10.1%,0.0%,8934138880.0,
PCG,PG&E Corporation,Utilities,Buy,3.51,A,C,C,A-,A-,Buy,+24.0%,110.0%,39717277696.0,
OXY,Occidental Petroleum Corporation,Energy,Buy,3.51,C,A+,C+,B+,B+,Hold,-8.8%,187.0%,57607831552.0,
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Buy,3.51,C-,B+,A,A-,C+,Buy,+8.4%,192.0%,43996868608.0,
AVGO,Broadcom Inc.,Technology,Buy,3.51,C+,A-,A,C+,A-,Strong Buy,+39.2%,76.0%,1592925749248.0,FSI-LC
HWM,Howmet Aerospace Inc.,Industrials,Buy,3.50,D,B+,A-,A,B-,Strong Buy,+14.6%,18.0%,98137554944.0,
EXEL,"Exelixis, Inc.",Healthcare,Buy,3.50,B,B,A,B,C,Buy,+13.8%,0.0%,11038177280.0,
NWN,Northwest Natural Holding Company,Utilities,Buy,3.50,A-,B,C+,A-,C+,Strong Buy,+8.5%,378.0%,2158826240.0,
